"folder","code","screen"
"accessibility_settings","True","True"
"achievements_&_badges","True","True"
"adaptive_simulated_exam","True","True"
"billing_history","True","True"
"create_new_study","True","True"
"critical_error_analysis","True","True"
"daily_missions_list","True","True"
"daily_study_sequence","True","True"
"detailed_error_review","True","True"
"empty_state_-_no_studies_today","True","True"
"error_message_display","True","True"
"exam_board_list","True","True"
"gamification_hub","True","True"
"library_hub","True","True"
"loading_state_display","True","True"
"macro_study_calendar","True","True"
"memodrops_official_style_guide","True","True"
"mnemonic_collection_1","True","True"
"mnemonic_collection_2","True","True"
"notification_feed_1","True","True"
"notification_feed_2","True","True"
"onboarding_goals_selection","True","True"
"onboarding_welcome_1","True","True"
"onboarding_welcome_2","True","True"
"payment_methods_management","True","True"
"pending_reviews_list","True","True"
"plan_&_usage_details","True","True"
"plan_confirmation","True","True"
"practice_question","True","True"
"practice_session_-_classic_style","True","True"
"progress_statistics_1","True","True"
"progress_statistics_2","True","True"
"quick_diagnostic","True","True"
"security_settings","True","True"
"settings_hub","True","True"
"simulated_exam_results","True","True"
"simulated_exams_hub","True","True"
"smart_weekly_schedule","True","True"
"study_clans_hub","True","True"
"study_content_detail","True","True"
"study_history_timeline","True","True"
"study_time_setup","True","True"
"subject_library_-_classic_style","True","True"
"subject_map_overview","True","True"
"subscription_status","True","True"
"support_&_faq_center","True","True"
"today's_dashboard_1","True","True"
"today's_dashboard_2","True","True"
"user_profile_overview","True","True"
"user_profile_setup","True","True"
"weekly_rankings","True","True"
"weekly_study_summary_1","True","True"
"weekly_study_summary_2","True","True"
